time,thermal_mw,hydro_mw,nuclear_mw,res_mw
00:00,1500,1000,2000,500
00:15,1500,1000,2000,500
00:30,1500,1000,2000,500
00:45,1500,1000,2000,500
01:00,1600,1000,2000,500
01:15,1600,1000,2000,500
01:30,1600,1000,2000,500
01:45,1600,1000,2000,500
02:00,1700,1000,2000,500
02:15,1700,1000,2000,500
02:30,1700,1000,2000,500
02:45,1700,1000,2000,500
03:00,1800,1000,2000,500
03:15,1800,1000,2000,500
03:30,1800,1000,2000,500
03:45,1800,1000,2000,500
04:00,1900,1000,2000,500
04:15,1900,1000,2000,500
04:30,1900,1000,2000,500
04:45,1900,1000,2000,500
05:00,2000,1000,2000,500
05:15,2000,1000,2000,500
05:30,2000,1000,2000,500
05:45,2000,1000,2000,500
06:00,2000,1000,2000,2000
06:15,2000,1000,2000,2000
06:30,2000,1000,2000,2000
06:45,2000,1000,2000,2000
07:00,2500,1000,2000,2000
07:15,2500,1000,2000,2000
07:30,2500,1000,2000,2000
07:45,2500,1000,2000,2000
08:00,3000,1000,2000,2000
08:15,3000,1000,2000,2000
08:30,3000,1000,2000,2000
08:45,3000,1000,2000,2000
09:00,3500,1000,2000,2000
09:15,3500,1000,2000,2000
09:30,3500,1000,2000,2000
09:45,3500,1000,2000,2000
10:00,4000,1000,2000,2000
10:15,4000,1000,2000,2000
10:30,4000,1000,2000,2000
10:45,4000,1000,2000,2000
11:00,4200,1000,2000,2000
11:15,4200,1000,2000,2000
11:30,4200,1000,2000,2000
11:45,4200,1000,2000,2000
12:00,4400,1000,2000,2000
12:15,4400,1000,2000,2000
12:30,4400,1000,2000,2000
12:45,4400,1000,2000,2000
13:00,4600,1000,2000,2000
13:15,4600,1000,2000,2000
13:30,4600,1000,2000,2000
13:45,4600,1000,2000,2000
14:00,4800,1000,2000,2000
14:15,4800,1000,2000,2000
14:30,4800,1000,2000,2000
14:45,4800,1000,2000,2000
15:00,5000,1000,2000,2000
15:15,5000,1000,2000,2000
15:30,5000,1000,2000,2000
15:45,5000,1000,2000,2000
16:00,5200,1000,2000,2000
16:15,5200,1000,2000,2000
16:30,5200,1000,2000,2000
16:45,5200,1000,2000,2000
17:00,5000,1000,2000,2000
17:15,5000,1000,2000,2000
17:30,5000,1000,2000,2000
17:45,5000,1000,2000,2000
18:00,4700,1000,2000,2000
18:15,4700,1000,2000,2000
18:30,4700,1000,2000,2000
18:45,4700,1000,2000,2000
19:00,4400,1000,2000,500
19:15,4400,1000,2000,500
19:30,4400,1000,2000,500
19:45,4400,1000,2000,500
20:00,4100,1000,2000,500
20:15,4100,1000,2000,500
20:30,4100,1000,2000,500
20:45,4100,1000,2000,500
21:00,3800,1000,2000,500
21:15,3800,1000,2000,500
21:30,3800,1000,2000,500
21:45,3800,1000,2000,500
22:00,3500,1000,2000,500
22:15,3500,1000,2000,500
22:30,3500,1000,2000,500
22:45,3500,1000,2000,500
23:00,3200,1000,2000,500
23:15,3200,1000,2000,500
23:30,3200,1000,2000,500
23:45,3200,1000,2000,500
